,Player,Tm,Short FGA,Short FGM,Reg FGA,Reg FGM,Med FGA,Med FGM,Long FGA,Long FGM,Deep FGA,Deep FGM,XPA,XPM,Year,Pos
322,Jeff Locke,DET,,,,,,,,,,,,,2017,K
323,Kamu Grugier-Hill,PHI,,,,,,,,,,,,,2017,K
324,Pat O'Donnell,CHI,,,,,,,,,,,,,2017,K
325,Riley Dixon,DEN,,,,,,,,,,,,,2017,K
326,Jon Ryan,SEA,,,,,,,,,,,,,2017,K
327,Britton Colquitt,CLE,,,,,,,,,,,,,2017,K
328,Dustin Colquitt,KAN,,,,,,,,,,,,,2017,K
329,Lac Edwards,NYJ,,,,,,,,,,,,,2017,K
330,Shane Lechler,HOU,,,,,,,,,,,,,2017,K
331,Andy Lee,ARI,,,,,,,,,,,,,2017,K
332,Thomas Morstead,NOR,,,,,,,,,,,,,2017,K
333,Ryan Quigley,MIN,,,,,,,,,,,,,2017,K
334,Kasey Redfern,DET,,,,,,,,,,,,,2017,K
335,Tress Way,WAS,,,,,,,,,,,,,2017,K
336,Ka'imi Fairbairn,HOU,1.0,1.0,9.0,9.0,11.0,11.0,15.0,12.0,6.0,4.0,41.0,39.0,2018,K
337,Justin Tucker,BAL,,,12.0,12.0,9.0,9.0,11.0,9.0,7.0,5.0,37.0,36.0,2018,K
338,Mason Crosby,GNB,,,4.0,4.0,11.0,10.0,15.0,11.0,7.0,5.0,36.0,34.0,2018,K
339,Jason Myers,NYJ,,,4.0,4.0,14.0,13.0,11.0,10.0,7.0,6.0,33.0,30.0,2018,K
340,Brett Maher,DAL,,,10.0,10.0,8.0,6.0,11.0,7.0,7.0,6.0,33.0,32.0,2018,K
341,Robbie Gould,SFO,,,9.0,9.0,13.0,13.0,10.0,9.0,2.0,2.0,29.0,27.0,2018,K
342,Aldrick Rosas,NYG,,,9.0,9.0,13.0,13.0,6.0,6.0,5.0,4.0,32.0,31.0,2018,K
343,Stephen Gostkowski,NWE,,,11.0,11.0,10.0,10.0,6.0,4.0,5.0,2.0,50.0,49.0,2018,K
344,Matt Prater,DET,,,8.0,8.0,12.0,12.0,7.0,5.0,5.0,3.0,30.0,30.0,2018,K
345,Greg Zuerlein,LAR,,,9.0,9.0,10.0,10.0,6.0,4.0,6.0,4.0,36.0,35.0,2018,K
346,Jake Elliott,PHI,,,7.0,7.0,11.0,10.0,8.0,7.0,5.0,2.0,35.0,33.0,2018,K
347,Wil Lutz,NOR,1.0,1.0,5.0,5.0,9.0,9.0,12.0,11.0,3.0,2.0,53.0,52.0,2018,K
348,Cody Parkey,CHI,,,6.0,6.0,10.0,7.0,12.0,9.0,2.0,1.0,45.0,42.0,2018,K
349,Ryan Succop,TEN,,,6.0,5.0,13.0,13.0,7.0,5.0,4.0,3.0,31.0,28.0,2018,K
350,Dustin Hopkins,WAS,,,5.0,5.0,7.0,7.0,12.0,10.0,5.0,4.0,26.0,25.0,2018,K
351,Dan Bailey,MIN,,,6.0,5.0,11.0,11.0,9.0,4.0,2.0,1.0,31.0,30.0,2018,K
352,Stephen Hauschka,BUF,,,3.0,3.0,8.0,8.0,10.0,7.0,7.0,4.0,26.0,25.0,2018,K
353,Harrison Butker,KAN,,,9.0,9.0,7.0,7.0,7.0,6.0,4.0,2.0,69.0,65.0,2018,K
354,Sebastian Janikowski,SEA,,,2.0,2.0,11.0,9.0,9.0,8.0,5.0,3.0,51.0,48.0,2018,K
355,Adam Vinatieri,IND,,,8.0,8.0,7.0,6.0,6.0,5.0,6.0,4.0,47.0,44.0,2018,K
356,Brandon McManus,DEN,,,5.0,5.0,6.0,6.0,7.0,7.0,7.0,2.0,35.0,35.0,2018,K
357,Randy Bullock,CIN,,,4.0,4.0,8.0,7.0,6.0,6.0,5.0,2.0,41.0,39.0,2018,K
358,Matt Bryant,ATL,,,4.0,4.0,5.0,5.0,7.0,7.0,5.0,4.0,35.0,33.0,2018,K
359,Daniel Carlson,2TM,,,2.0,2.0,4.0,3.0,12.0,9.0,3.0,3.0,24.0,24.0,2018,K
360,Josh Lambo,JAX,,,4.0,4.0,8.0,8.0,4.0,3.0,5.0,4.0,20.0,19.0,2018,K
361,Chris Boswell,PIT,,,3.0,3.0,6.0,4.0,10.0,5.0,1.0,1.0,48.0,43.0,2018,K
362,Jason Sanders,MIA,,,7.0,7.0,3.0,3.0,9.0,7.0,1.0,1.0,36.0,35.0,2018,K
363,Chandler Catanzaro,2TM,,,4.0,4.0,10.0,9.0,3.0,,3.0,3.0,35.0,30.0,2018,K
364,Greg Joseph,CLE,,,4.0,4.0,7.0,7.0,7.0,5.0,2.0,1.0,29.0,25.0,2018,K
365,Cairo Santos,2TM,1.0,1.0,4.0,4.0,6.0,6.0,6.0,3.0,1.0,,23.0,22.0,2018,K
366,Graham Gano,CAR,,,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,33.0,30.0,2018,K
367,Michael Badgley,LAC,,,4.0,4.0,5.0,5.0,5.0,5.0,2.0,1.0,28.0,27.0,2018,K
368,Zane Gonzalez,2TM,,,1.0,1.0,4.0,4.0,4.0,2.0,5.0,2.0,11.0,8.0,2018,K
369,Caleb Sturgis,LAC,,,4.0,4.0,2.0,2.0,6.0,3.0,1.0,,15.0,9.0,2018,K
370,Matthew McCrane,3TM,,,3.0,3.0,2.0,2.0,5.0,3.0,2.0,,9.0,9.0,2018,K
371,Phil Dawson,ARI,,,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,15.0,15.0,2018,K
372,Mike Nugent,OAK,,,3.0,3.0,,,2.0,2.0,1.0,1.0,5.0,4.0,2018,K
373,Giorgio Tavecchio,ATL,,,1.0,1.0,,,2.0,2.0,2.0,2.0,8.0,8.0,2018,K
374,Kai Forbath,JAX,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,2018,K
375,Sam Ficken,LAR,,,1.0,,1.0,1.0,1.0,,,,10.0,10.0,2018,K
376,Johnny Hekker,LAR,,,1.0,1.0,,,,,,,1.0,1.0,2018,K
377,Matthew Bosher,ATL,,,,,,,,,,,,,2018,K
378,Rigoberto Sanchez,IND,,,,,,,,,,,,,2018,K
379,Bradley Pinion,SFO,,,,,,,,,,,,,2018,K
380,Sam Martin,DET,,,,,,,,,,,,,2018,K
381,Logan Cooke,JAX,,,,,,,,,,,,,2018,K
382,Michael Dickson,SEA,,,,,,,,,,,,,2018,K
383,Thomas Morstead,NOR,,,,,,,,,,,,,2018,K
384,Bryan Anger,TAM,,,,,,,,,,,,,2018,K
385,Daren Bates,TEN,,,,,,,,,,,,,2018,K
386,Britton Colquitt,CLE,,,,,,,,,,,,,2018,K
387,Dustin Colquitt,KAN,,,,,,,,,,,,,2018,K
388,Lac Edwards,NYJ,,,,,,,,,,,,,2018,K
389,Brett Kern,TEN,,,,,,,,,,,,,2018,K
390,Andy Lee,ARI,,,,,,,,,,,,,2018,K
391,JK Scott,GNB,,,,,,,,,,,,,2018,K
392,Harrison Butker,KAN,,,9.0,9.0,9.0,8.0,14.0,14.0,6.0,3.0,48.0,45.0,2019,K
393,Wil Lutz,NOR,1.0,1.0,9.0,9.0,6.0,6.0,15.0,13.0,5.0,3.0,49.0,48.0,2019,K
394,Matt Gay,TAM,,,6.0,6.0,7.0,5.0,14.0,11.0,8.0,5.0,48.0,43.0,2019,K
395,Zane Gonzalez,ARI,,,12.0,12.0,13.0,12.0,8.0,5.0,2.0,2.0,35.0,34.0,2019,K
396,Brandon McManus,DEN,,,6.0,6.0,9.0,9.0,12.0,10.0,7.0,4.0,26.0,25.0,2019,K
397,Josh Lambo,JAX,,,12.0,12.0,9.0,9.0,9.0,8.0,4.0,4.0,20.0,19.0,2019,K
398,Greg Zuerlein,LAR,,,7.0,7.0,8.0,7.0,11.0,5.0,7.0,5.0,42.0,42.0,2019,K
399,Joey Slye,CAR,,,5.0,4.0,5.0,5.0,11.0,8.0,11.0,8.0,35.0,31.0,2019,K
400,Robbie Gould,SFO,,,9.0,9.0,10.0,8.0,8.0,6.0,4.0,,42.0,41.0,2019,K
401,Matt Prater,DET,,,11.0,11.0,3.0,2.0,9.0,6.0,8.0,7.0,36.0,35.0,2019,K
402,Chris Boswell,PIT,1.0,1.0,11.0,11.0,7.0,7.0,10.0,9.0,2.0,1.0,28.0,28.0,2019,K
403,Randy Bullock,CIN,,,10.0,10.0,6.0,6.0,12.0,10.0,3.0,1.0,25.0,24.0,2019,K
404,Brett Maher,DAL,,,9.0,9.0,8.0,6.0,5.0,1.0,8.0,4.0,36.0,36.0,2019,K
405,Jason Sanders,MIA,,,7.0,7.0,9.0,8.0,9.0,5.0,5.0,3.0,30.0,29.0,2019,K
406,Dustin Hopkins,WAS,,,8.0,7.0,9.0,8.0,10.0,8.0,3.0,2.0,22.0,21.0,2019,K
407,Justin Tucker,BAL,,,8.0,8.0,9.0,9.0,11.0,10.0,1.0,1.0,59.0,57.0,2019,K
408,Dan Bailey,MIN,,,10.0,10.0,9.0,9.0,7.0,5.0,3.0,3.0,44.0,40.0,2019,K
409,Austin Seibert,CLE,,,6.0,6.0,9.0,9.0,12.0,9.0,2.0,1.0,35.0,30.0,2019,K
410,Jason Myers,SEA,,,6.0,6.0,11.0,11.0,7.0,4.0,4.0,2.0,44.0,40.0,2019,K
411,Stephen Hauschka,BUF,,,5.0,5.0,8.0,7.0,10.0,9.0,5.0,1.0,32.0,30.0,2019,K
412,Eddy Pineiro,CHI,1.0,1.0,8.0,8.0,10.0,9.0,7.0,3.0,2.0,2.0,29.0,27.0,2019,K
413,Sam Ficken,NYJ,,,2.0,2.0,8.0,7.0,11.0,7.0,6.0,3.0,26.0,23.0,2019,K
414,Jake Elliott,PHI,,,7.0,7.0,8.0,8.0,7.0,5.0,4.0,2.0,37.0,35.0,2019,K
415,Daniel Carlson,OAK,,,8.0,8.0,6.0,5.0,10.0,6.0,2.0,,36.0,34.0,2019,K
416,Younghoe Koo,ATL,,,6.0,6.0,10.0,9.0,9.0,7.0,1.0,1.0,16.0,15.0,2019,K
417,Ka'imi Fairbairn,HOU,,,5.0,5.0,8.0,8.0,6.0,4.0,6.0,3.0,45.0,40.0,2019,K
418,Adam Vinatieri,IND,,,7.0,6.0,6.0,6.0,7.0,3.0,5.0,2.0,28.0,22.0,2019,K
419,Mason Crosby,GNB,1.0,1.0,2.0,2.0,11.0,11.0,8.0,7.0,2.0,1.0,41.0,40.0,2019,K
420,Chase McLaughlin,3TM,1.0,1.0,5.0,5.0,4.0,4.0,10.0,5.0,3.0,3.0,26.0,26.0,2019,K
421,Aldrick Rosas,NYG,,,6.0,6.0,6.0,5.0,4.0,1.0,1.0,,39.0,35.0,2019,K
422,Nick Folk,NWE,1.0,1.0,5.0,5.0,3.0,3.0,7.0,4.0,1.0,1.0,12.0,12.0,2019,K
423,Michael Badgley,LAC,,,5.0,5.0,2.0,2.0,8.0,6.0,1.0,,19.0,19.0,2019,K
424,Matt Bryant,ATL,,,1.0,1.0,4.0,3.0,3.0,3.0,6.0,2.0,15.0,14.0,2019,K
425,Kai Forbath,2TM,,,2.0,2.0,1.0,1.0,7.0,7.0,1.0,1.0,12.0,11.0,2019,K
426,Cairo Santos,TEN,,,,,3.0,1.0,3.0,2.0,3.0,1.0,12.0,12.0,2019,K
427,Ty Long,LAC,,,,,3.0,2.0,5.0,4.0,1.0,1.0,9.0,9.0,2019,K
428,Mike Nugent,NWE,,,4.0,3.0,3.0,2.0,1.0,,,,16.0,15.0,2019,K
429,Stephen Gostkowski,NWE,,,3.0,3.0,3.0,3.0,2.0,1.0,,,15.0,11.0,2019,K
430,Ryan Succop,TEN,,,,,1.0,1.0,4.0,,1.0,,25.0,24.0,2019,K
431,Cody Parkey,TEN,,,,,,,2.0,2.0,1.0,1.0,6.0,5.0,2019,K
432,Kaare Vedvik,NYJ,,,,,,,1.0,,,,1.0,,2019,K
433,Greg Joseph,TEN,,,,,,,,,,,9.0,9.0,2019,K
434,Bradley Pinion,TAM,,,,,,,,,,,,,2019,K
435,Mitch Wishnowsky,SFO,,,,,,,,,,,,,2019,K
436,Rigoberto Sanchez,IND,,,,,,,,,,,,,2019,K
437,Jake Bailey,NWE,,,,,,,,,,,,,2019,K
438,Sam Martin,DET,,,,,,,,,,,,,2019,K
439,Logan Cooke,JAX,,,,,,,,,,,,,2019,K
440,Pat O'Donnell,CHI,,,,,,,,,,,,,2019,K
441,Kasey Redfern,ATL,,,,,,,,,,,,,2019,K
442,Matt Wile,ATL,,,,,,,,,,,,,2019,K
443,Matthew Bosher,ATL,,,,,,,,,,,,,2019,K
444,Michael Palardy,CAR,,,,,,,,,,,,,2019,K
445,Jamie Gillan,CLE,,,,,,,,,,,,,2019,K
446,Jordan Berry,PIT,,,,,,,,,,,,,2019,K
447,Lac Edwards,NYJ,,,,,,,,,,,,,2019,K
448,Matt Haack,MIA,,,,,,,,,,,,,2019,K
449,Johnny Hekker,LAR,,,,,,,,,,,,,2019,K
450,Bryan Anger,HOU,,,,,,,,,,,,,2019,K
451,Corey Bojorquez,BUF,,,,,,,,,,,,,2019,K
452,Britton Colquitt,MIN,,,,,,,,,,,,,2019,K
453,Riley Dixon,NYG,,,,,,,,,,,,,2019,K
454,Thomas Morstead,NOR,,,,,,,,,,,,,2019,K
455,Greg Zuerlein,DAL,1.0,1.0,5.0,5.0,13.0,13.0,13.0,12.0,9.0,3.0,36.0,33.0,2020,K
456,Jason Sanders,MIA,1.0,1.0,8.0,8.0,7.0,7.0,14.0,12.0,9.0,8.0,36.0,36.0,2020,K
457,Younghoe Koo,ATL,,,10.0,10.0,12.0,11.0,9.0,8.0,8.0,8.0,36.0,33.0,2020,K
458,Rodrigo Blankenship,IND,,,10.0,10.0,13.0,12.0,11.0,9.0,3.0,1.0,45.0,43.0,2020,K
459,Joey Slye,CAR,,,12.0,11.0,10.0,10.0,8.0,7.0,6.0,1.0,36.0,33.0,2020,K
460,Daniel Carlson,LVR,,,18.0,18.0,8.0,8.0,5.0,3.0,4.0,4.0,47.0,45.0,2020,K
461,Tyler Bass,BUF,1.0,1.0,9.0,9.0,9.0,6.0,9.0,8.0,6.0,4.0,59.0,57.0,2020,K
462,Dustin Hopkins,WAS,,,5.0,5.0,8.0,7.0,17.0,13.0,4.0,2.0,32.0,30.0,2020,K
463,Brandon McManus,DEN,,,6.0,6.0,5.0,4.0,8.0,8.0,15.0,10.0,27.0,24.0,2020,K
464,Michael Badgley,LAC,,,8.0,8.0,6.0,6.0,13.0,8.0,6.0,2.0,39.0,36.0,2020,K
465,Cairo Santos,CHI,,,9.0,9.0,10.0,10.0,10.0,9.0,3.0,2.0,37.0,36.0,2020,K
466,Graham Gano,NYG,,,4.0,4.0,13.0,13.0,9.0,9.0,6.0,5.0,23.0,21.0,2020,K
467,Ryan Succop,TAM,1.0,1.0,10.0,10.0,9.0,9.0,9.0,7.0,2.0,1.0,57.0,52.0,2020,K
468,Ka'imi Fairbairn,HOU,,,8.0,8.0,9.0,9.0,8.0,6.0,6.0,4.0,40.0,37.0,2020,K
469,Justin Tucker,BAL,,,8.0,8.0,7.0,6.0,9.0,9.0,5.0,3.0,53.0,52.0,2020,K
470,Wil Lutz,NOR,,,6.0,5.0,10.0,10.0,9.0,7.0,3.0,1.0,58.0,57.0,2020,K
471,Matt Prater,DET,,,4.0,4.0,7.0,7.0,7.0,4.0,10.0,6.0,41.0,38.0,2020,K
472,Nick Folk,NWE,,,6.0,6.0,7.0,7.0,12.0,11.0,3.0,2.0,33.0,30.0,2020,K
473,Harrison Butker,KAN,2.0,2.0,7.0,7.0,9.0,9.0,5.0,3.0,4.0,4.0,54.0,48.0,2020,K
474,Stephen Gostkowski,TEN,,,3.0,2.0,5.0,4.0,10.0,5.0,8.0,7.0,48.0,46.0,2020,K
475,Randy Bullock,CIN,,,3.0,3.0,10.0,8.0,8.0,7.0,5.0,3.0,25.0,24.0,2020,K
476,Jason Myers,SEA,,,2.0,2.0,7.0,7.0,13.0,13.0,2.0,2.0,53.0,49.0,2020,K
477,Robbie Gould,SFO,,,3.0,3.0,6.0,5.0,10.0,9.0,4.0,2.0,38.0,36.0,2020,K
478,Cody Parkey,CLE,,,5.0,5.0,6.0,4.0,11.0,10.0,,,47.0,43.0,2020,K
479,Dan Bailey,MIN,,,6.0,6.0,4.0,3.0,7.0,4.0,5.0,2.0,43.0,37.0,2020,K
480,Zane Gonzalez,ARI,,,4.0,4.0,2.0,2.0,13.0,8.0,3.0,2.0,39.0,38.0,2020,K
481,Chris Boswell,PIT,,,5.0,5.0,6.0,6.0,8.0,7.0,1.0,1.0,38.0,34.0,2020,K
482,Jake Elliott,PHI,,,3.0,1.0,6.0,6.0,5.0,5.0,5.0,2.0,26.0,24.0,2020,K
483,Mason Crosby,GNB,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,63.0,59.0,2020,K
484,Matt Gay,LAR,,,2.0,2.0,6.0,5.0,7.0,6.0,1.0,1.0,16.0,16.0,2020,K
485,Sam Ficken,NYJ,,,5.0,5.0,6.0,6.0,1.0,1.0,3.0,1.0,15.0,12.0,2020,K
486,Sam Sloman,2TM,,,3.0,2.0,6.0,6.0,3.0,2.0,1.0,,26.0,23.0,2020,K
487,Sergio Castillo,NYJ,,,2.0,1.0,4.0,3.0,5.0,2.0,2.0,2.0,7.0,6.0,2020,K
488,Aldrick Rosas,JAX,,,3.0,3.0,2.0,2.0,1.0,,5.0,3.0,9.0,9.0,2020,K
489,Austin Seibert,2TM,,,,,5.0,5.0,3.0,1.0,1.0,,9.0,8.0,2020,K
490,Mike Nugent,ARI,,,1.0,1.0,5.0,4.0,2.0,2.0,,,7.0,7.0,2020,K
491,Josh Lambo,JAX,,,,,2.0,2.0,1.0,1.0,2.0,2.0,10.0,8.0,2020,K
492,Chase McLaughlin,2TM,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,5.0,2020,K
493,Matthew Wright,PIT,,,1.0,1.0,1.0,1.0,2.0,2.0,,,7.0,7.0,2020,K
494,Kai Forbath,LAR,,,2.0,2.0,,,1.0,,,,5.0,4.0,2020,K
495,Tristan Vizcaino,SFO,,,,,2.0,2.0,1.0,1.0,,,2.0,2.0,2020,K
496,Stephen Hauschka,JAX,,,1.0,,,,1.0,,,,2.0,2.0,2020,K
497,Jonathan Brown,JAX,,,,,2.0,1.0,,,,,1.0,1.0,2020,K
498,Taylor Russolino,DEN,,,,,,,,,1.0,,3.0,1.0,2020,K
499,Elliott Fry,ATL,,,1.0,1.0,,,,,,,2.0,1.0,2020,K
500,Jamie Gillan,CLE,,,,,,,,,1.0,,,,2020,K
501,Brandon Wright,JAX,,,,,,,,,,,2.0,1.0,2020,K
502,Bradley Pinion,TAM,,,,,,,,,,,,,2020,K
503,Ty Long,LAC,,,,,,,,,,,,,2020,K
504,Rigoberto Sanchez,IND,,,,,,,,,,,,,2020,K
505,Jake Bailey,NWE,,,,,,,,,,,,,2020,K
506,Mitch Wishnowsky,SFO,,,,,,,,,,,,,2020,K
507,Jack Fox,DET,,,,,,,,,,,,,2020,K
508,Logan Cooke,JAX,,,,,,,,,,,,,2020,K
509,Braden Mann,NYJ,,,,,,,,,,,,,2020,K
510,Sterling Hofrichter,ATL,,,,,,,,,,,,,2020,K
511,JK Scott,GNB,,,,,,,,,,,,,2020,K
512,Bryan Anger,HOU,,,,,,,,,,,,,2020,K
513,Britton Colquitt,MIN,,,,,,,,,,,,,2020,K
514,Michael Dickson,SEA,,,,,,,,,,,,,2020,K
515,Cameron Johnston,PHI,,,,,,,,,,,,,2020,K
516,Chris Jones,DAL,,,,,,,,,,,,,2020,K
517,Andy Lee,ARI,,,,,,,,,,,,,2020,K
518,Sam Martin,DEN,,,,,,,,,,,,,2020,K
519,Tommy Townsend,KAN,,,,,,,,,,,,,2020,K
520,Aaron Brewer,ARI,,,,,,,,,,,,,2020,K
521,Keelan Cole,JAX,,,,,,,,,,,,,2020,K
522,Riley Dixon,NYG,,,,,,,,,,,,,2020,K
523,Matt Haack,MIA,,,,,,,,,,,,,2020,K
524,Brett Kern,TEN,,,,,,,,,,,,,2020,K
525,Thomas Morstead,NOR,,,,,,,,,,,,,2020,K
526,Daniel Carlson,LVR,,,11.0,10.0,12.0,12.0,13.0,12.0,7.0,6.0,33.0,30.0,2021,K
527,Chris Boswell,PIT,,,9.0,9.0,9.0,8.0,13.0,11.0,9.0,8.0,29.0,27.0,2021,K
528,Nick Folk,NWE,,,9.0,9.0,11.0,11.0,11.0,11.0,8.0,5.0,47.0,42.0,2021,K
529,Greg Joseph,MIN,,,8.0,8.0,12.0,11.0,9.0,7.0,9.0,7.0,40.0,36.0,2021,K
530,Matt Prater,ARI,,,11.0,11.0,11.0,9.0,5.0,3.0,10.0,7.0,49.0,47.0,2021,K
531,Justin Tucker,BAL,,,7.0,7.0,9.0,9.0,15.0,13.0,6.0,6.0,32.0,32.0,2021,K
532,Greg Zuerlein,DAL,,,5.0,5.0,16.0,15.0,9.0,7.0,5.0,2.0,48.0,42.0,2021,K
533,Mason Crosby,GNB,,,9.0,9.0,13.0,9.0,8.0,4.0,4.0,3.0,51.0,49.0,2021,K
534,Matt Gay,LAR,,,6.0,6.0,15.0,15.0,8.0,7.0,5.0,4.0,49.0,48.0,2021,K
535,Dustin Hopkins,2TM,1.0,1.0,8.0,8.0,6.0,6.0,14.0,13.0,5.0,2.0,44.0,40.0,2021,K
536,Evan McPherson,CIN,,,5.0,5.0,8.0,8.0,9.0,6.0,11.0,9.0,48.0,46.0,2021,K
537,Jake Elliott,PHI,,,7.0,7.0,10.0,10.0,13.0,10.0,3.0,3.0,44.0,44.0,2021,K
538,Graham Gano,NYG,,,5.0,5.0,13.0,12.0,5.0,5.0,10.0,7.0,17.0,17.0,2021,K
539,Tyler Bass,BUF,,,15.0,15.0,8.0,7.0,5.0,4.0,4.0,2.0,51.0,51.0,2021,K
540,Randy Bullock,TEN,,,5.0,5.0,12.0,12.0,13.0,8.0,1.0,1.0,45.0,42.0,2021,K
541,Jason Sanders,MIA,,,6.0,6.0,9.0,7.0,10.0,8.0,6.0,2.0,35.0,34.0,2021,K
542,Brandon McManus,DEN,,,8.0,7.0,6.0,6.0,8.0,8.0,9.0,5.0,34.0,33.0,2021,K
543,Ryan Succop,TAM,,,11.0,11.0,8.0,7.0,10.0,7.0,1.0,,59.0,56.0,2021,K
544,Cairo Santos,CHI,,,10.0,10.0,5.0,5.0,13.0,11.0,2.0,,28.0,27.0,2021,K
545,Younghoe Koo,ATL,,,8.0,8.0,9.0,9.0,7.0,6.0,5.0,4.0,30.0,30.0,2021,K
546,Harrison Butker,KAN,,,3.0,3.0,11.0,11.0,5.0,4.0,9.0,7.0,49.0,47.0,2021,K
547,Joey Slye,3TM,,,9.0,9.0,5.0,5.0,7.0,5.0,4.0,4.0,22.0,18.0,2021,K
548,Matthew Wright,JAX,,,7.0,7.0,7.0,7.0,4.0,3.0,6.0,4.0,15.0,13.0,2021,K
549,Jason Myers,SEA,,,2.0,2.0,11.0,9.0,5.0,3.0,5.0,3.0,47.0,44.0,2021,K
550,Robbie Gould,SFO,,,6.0,6.0,4.0,4.0,9.0,7.0,4.0,3.0,40.0,39.0,2021,K
551,Michael Badgley,2TM,,,4.0,4.0,7.0,6.0,10.0,8.0,1.0,,41.0,40.0,2021,K
552,Zane Gonzalez,CAR,,,6.0,6.0,1.0,1.0,10.0,10.0,5.0,3.0,23.0,22.0,2021,K
553,Chase McLaughlin,CLE,,,3.0,3.0,4.0,4.0,10.0,4.0,4.0,4.0,37.0,36.0,2021,K
554,Ka'imi Fairbairn,HOU,,,4.0,4.0,5.0,5.0,4.0,2.0,6.0,4.0,16.0,13.0,2021,K
555,Matt Ammendola,NYJ,,,5.0,5.0,6.0,6.0,5.0,2.0,3.0,,15.0,14.0,2021,K
556,Brett Maher,NOR,,,4.0,4.0,9.0,8.0,4.0,4.0,1.0,,12.0,10.0,2021,K
557,Riley Patterson,DET,,,3.0,3.0,6.0,6.0,4.0,4.0,1.0,,16.0,16.0,2021,K
558,Rodrigo Blankenship,IND,,,3.0,3.0,4.0,3.0,6.0,5.0,1.0,,8.0,7.0,2021,K
559,Austin Seibert,DET,,,,,4.0,4.0,6.0,5.0,2.0,1.0,5.0,5.0,2021,K
560,Brian Johnson,2TM,,,5.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,13.0,9.0,2021,K
561,Eddy Pineiro,NYJ,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,10.0,9.0,2021,K
562,Tristan Vizcaino,LAC,,,3.0,3.0,2.0,2.0,2.0,1.0,,,15.0,10.0,2021,K
563,Aldrick Rosas,2TM,,,,,1.0,,2.0,2.0,2.0,,14.0,14.0,2021,K
564,Lirim Hajrullahu,2TM,,,2.0,2.0,2.0,2.0,1.0,,,,8.0,8.0,2021,K
565,Ryan Santoso,2TM,,,3.0,3.0,1.0,1.0,1.0,,,,8.0,6.0,2021,K
566,Elliott Fry,2TM,,,,,4.0,3.0,1.0,1.0,,,5.0,4.0,2021,K
567,Chris Blewitt,WAS,,,,,,,4.0,1.0,1.0,1.0,2.0,2.0,2021,K
568,Josh Lambo,JAX,,,,,,,1.0,,2.0,,7.0,5.0,2021,K
569,Dominik Eberle,HOU,,,1.0,1.0,,,,,2.0,1.0,5.0,5.0,2021,K
570,Mitch Wishnowsky,SFO,,,,,,,1.0,,,,2.0,1.0,2021,K
571,Chris Naggar,CLE,,,,,1.0,1.0,,,,,2.0,1.0,2021,K
572,Bradley Pinion,TAM,,,,,,,,,1.0,,,,2021,K
573,Cody Parkey,NOR,,,,,,,,,,,5.0,3.0,2021,K
574,Alex Kessman,NYJ,,,,,,,,,,,2.0,,2021,K
575,Jake Bailey,NWE,,,,,,,,,,,,,2021,K
576,Rigoberto Sanchez,IND,,,,,,,,,,,,,2021,K
577,Jack Fox,DET,,,,,,,,,,,,,2021,K
578,Braden Mann,NYJ,,,,,,,,,,,,,2021,K
579,Logan Cooke,JAX,,,,,,,,,,,,,2021,K
580,Cameron Nizialek,ATL,,,,,,,,,,,,,2021,K
581,Sterling Hofrichter,TAM,,,,,,,,,,,,,2021,K
582,Riley Dixon,NYG,,,,,,,,,,,,,2021,K
583,Brandon Zylstra,CAR,,,,,,,,,,,,,2021,K
584,Blake Gillikin,NOR,,,,,,,,,,,,,2021,K
585,Pressley Harvin III,PIT,,,,,,,,,,,,,2021,K
586,Tress Way,WAS,,,,,,,,,,,,,2021,K
587,Ryan Winslow,3TM,,,,,,,,,,,,,2021,K
588,Matt Haack,BUF,,,,,,,,,,,,,2021,K
589,Michael Palardy,MIA,,,,,,,,,,,,,2021,K
590,Arryn Siposs,PHI,,,,,,,,,,,,,2021,K
591,Justin Tucker,BAL,,,13.0,13.0,11.0,11.0,5.0,4.0,14.0,9.0,32.0,31.0,2022,K
592,Ryan Succop,TAM,,,11.0,10.0,8.0,7.0,12.0,12.0,7.0,2.0,25.0,24.0,2022,K
593,Jason Myers,SEA,,,9.0,9.0,16.0,15.0,6.0,4.0,6.0,6.0,42.0,41.0,2022,K
594,Daniel Carlson,LVR,,,9.0,9.0,11.0,11.0,4.0,3.0,13.0,11.0,36.0,35.0,2022,K
595,Nick Folk,NWE,1.0,1.0,9.0,9.0,8.0,8.0,14.0,10.0,5.0,4.0,35.0,32.0,2022,K
596,Younghoe Koo,ATL,,,9.0,9.0,7.0,7.0,10.0,9.0,11.0,7.0,35.0,33.0,2022,K
597,Greg Zuerlein,NYJ,,,5.0,5.0,10.0,10.0,11.0,9.0,11.0,6.0,29.0,28.0,2022,K
598,Brandon McManus,DEN,,,7.0,6.0,6.0,4.0,10.0,10.0,13.0,8.0,27.0,25.0,2022,K
