,Player,PA,Yds Allow,TO,FL,Def Int,Pen,EXP,Year,Tm,Pos,PR TD,KR TD,FblTD,IntTD,Sfty,Short FGA,Short FGM,Reg FGA,Reg FGM,Med FGA,Med FGM,Long FGA,Long FGM,Deep FGA,Deep FGM,XPA,XPM
289,New England Patriots,303.0,5284.0,30.0,7.0,23.0,100.0,-4.84,2021,NWE,D/ST,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Denver Broncos,322.0,5544.0,19.0,6.0,13.0,104.0,-36.14,2021,DEN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,New Orleans Saints,335.0,5410.0,25.0,7.0,18.0,89.0,43.03,2021,NOR,D/ST,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,Tampa Bay Buccaneers,353.0,5635.0,29.0,12.0,17.0,79.0,-0.6,2021,TAM,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,Tennessee Titans,354.0,5607.0,22.0,6.0,16.0,118.0,-30.56,2021,TEN,D/ST,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Dallas Cowboys,358.0,5967.0,34.0,8.0,26.0,121.0,21.81,2021,DAL,D/ST,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Kansas City Chiefs,364.0,6272.0,29.0,14.0,15.0,116.0,-131.68,2021,KAN,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,San Francisco 49ers,365.0,5270.0,20.0,11.0,9.0,94.0,-52.77,2021,SFO,D/ST,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Indianapolis Colts,365.0,5834.0,33.0,14.0,19.0,109.0,-49.31,2021,IND,D/ST,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Arizona Cardinals,366.0,5597.0,27.0,14.0,13.0,100.0,-19.46,2021,ARI,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Seattle Seahawks,366.0,6445.0,18.0,7.0,11.0,96.0,-97.48,2021,SEA,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,Green Bay Packers,371.0,5579.0,26.0,8.0,18.0,88.0,-55.57,2021,GNB,D/ST,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Cleveland Browns,371.0,5296.0,19.0,6.0,13.0,98.0,-54.54,2021,CLE,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Los Angeles Rams,372.0,5863.0,25.0,6.0,19.0,88.0,-17.07,2021,LAR,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Miami Dolphins,373.0,5738.0,26.0,12.0,14.0,109.0,-16.12,2021,MIA,D/ST,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Cincinnati Bengals,376.0,5964.0,21.0,8.0,13.0,116.0,-45.38,2021,CIN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Philadelphia Eagles,385.0,5590.0,16.0,4.0,12.0,92.0,-73.93,2021,PHI,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Baltimore Ravens,392.0,6178.0,15.0,6.0,9.0,98.0,-107.49,2021,BAL,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,Pittsburgh Steelers,398.0,6139.0,22.0,9.0,13.0,123.0,-55.8,2021,PIT,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Carolina Panthers,404.0,5201.0,16.0,7.0,9.0,108.0,-9.14,2021,CAR,D/ST,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,Chicago Bears,407.0,5384.0,16.0,8.0,8.0,93.0,-77.49,2021,CHI,D/ST,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,New York Giants,416.0,6032.0,22.0,7.0,15.0,107.0,-76.83,2021,NYG,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Minnesota Vikings,426.0,6522.0,24.0,8.0,16.0,93.0,-86.3,2021,MIN,D/ST,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,Washington Commanders,434.0,6108.0,19.0,8.0,11.0,96.0,-125.4,2021,WAS,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Las Vegas Raiders,439.0,5732.0,15.0,9.0,6.0,99.0,-138.31,2021,LVR,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Houston Texans,452.0,6535.0,25.0,8.0,17.0,89.0,-143.17,2021,HOU,D/ST,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,Jacksonville Jaguars,457.0,6002.0,9.0,2.0,7.0,104.0,-154.57,2021,JAX,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,Atlanta Falcons,459.0,6194.0,20.0,8.0,12.0,118.0,-136.74,2021,ATL,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Los Angeles Chargers,459.0,6122.0,21.0,10.0,11.0,99.0,-122.86,2021,LAC,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Detroit Lions,467.0,6456.0,19.0,8.0,11.0,87.0,-176.03,2021,DET,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,New York Jets,504.0,6760.0,14.0,7.0,7.0,84.0,-193.85,2021,NYJ,D/ST,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,San Francisco 49ers,277.0,5110.0,30.0,10.0,20.0,96.0,56.26,2022,SFO,D/ST,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Buffalo Bills,286.0,5106.0,27.0,10.0,17.0,89.0,4.46,2022,BUF,D/ST,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Baltimore Ravens,315.0,5513.0,25.0,11.0,14.0,79.0,-32.38,2022,BAL,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,New York Jets,316.0,5288.0,16.0,4.0,12.0,90.0,25.96,2022,NYJ,D/ST,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,Cincinnati Bengals,322.0,5371.0,24.0,11.0,13.0,100.0,-20.02,2022,CIN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Dallas Cowboys,342.0,5613.0,33.0,17.0,16.0,98.0,31.77,2022,DAL,D/ST,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,Washington Commanders,343.0,5178.0,18.0,9.0,9.0,85.0,7.28,2022,WAS,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Philadelphia Eagles,344.0,5125.0,27.0,10.0,17.0,95.0,20.73,2022,PHI,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,New Orleans Saints,345.0,5352.0,14.0,7.0,7.0,92.0,-30.6,2022,NOR,D/ST,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,Pittsburgh Steelers,346.0,5617.0,23.0,3.0,20.0,96.0,-47.1,2022,PIT,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,New England Patriots,347.0,5474.0,30.0,11.0,19.0,89.0,55.35,2022,NWE,D/ST,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,Jacksonville Jaguars,350.0,6006.0,27.0,13.0,14.0,90.0,-52.27,2022,JAX,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Tampa Bay Buccaneers,358.0,5513.0,20.0,10.0,10.0,97.0,-36.51,2022,TAM,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Denver Broncos,359.0,5440.0,23.0,8.0,15.0,106.0,7.24,2022,DEN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Tennessee Titans,359.0,5978.0,20.0,6.0,14.0,115.0,-52.12,2022,TEN,D/ST,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Kansas City Chiefs,369.0,5579.0,20.0,9.0,11.0,98.0,-65.59,2022,KAN,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,Green Bay Packers,371.0,5721.0,24.0,7.0,17.0,100.0,-63.86,2022,GNB,D/ST,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,New York Giants,371.0,6089.0,19.0,13.0,6.0,111.0,-125.22,2022,NYG,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,Carolina Panthers,374.0,5953.0,17.0,7.0,10.0,105.0,-52.04,2022,CAR,D/ST,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Cleveland Browns,381.0,5631.0,20.0,9.0,11.0,88.0,-57.92,2022,CLE,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,Los Angeles Chargers,384.0,5884.0,24.0,10.0,14.0,80.0,-84.56,2022,LAC,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,Los Angeles Rams,384.0,5798.0,22.0,6.0,16.0,82.0,-75.59,2022,LAR,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,Atlanta Falcons,386.0,6156.0,17.0,7.0,10.0,100.0,-123.5,2022,ATL,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,Miami Dolphins,399.0,5743.0,14.0,6.0,8.0,84.0,-66.41,2022,MIA,D/ST,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Seattle Seahawks,401.0,6149.0,25.0,11.0,14.0,98.0,-113.17,2022,SEA,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Las Vegas Raiders,418.0,6216.0,13.0,7.0,6.0,93.0,-132.08,2022,LVR,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Houston Texans,420.0,6452.0,27.0,11.0,16.0,95.0,-80.38,2022,HOU,D/ST,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Minnesota Vikings,427.0,6608.0,25.0,10.0,15.0,111.0,-104.0,2022,MIN,D/ST,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Detroit Lions,427.0,6670.0,22.0,10.0,12.0,103.0,-159.66,2022,DET,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Indianapolis Colts,427.0,5678.0,21.0,11.0,10.0,89.0,-51.07,2022,IND,D/ST,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Arizona Cardinals,449.0,5931.0,20.0,9.0,11.0,94.0,-81.73,2022,ARI,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Chicago Bears,463.0,6390.0,23.0,9.0,14.0,84.0,-169.13,2022,CHI,D/ST,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,David Akers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,SFO,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,8.0,13.0,11.0,13.0,7.0,6.0,2.0,44.0,44.0
353,Lawrence Tynes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NYG,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,16.0,14.0,9.0,7.0,3.0,1.0,46.0,46.0
354,Shayne Graham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,HOU,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,11.0,11.0,9.0,7.0,9.0,4.0,45.0,45.0
355,Matt Bryant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,ATL,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,8.0,11.0,10.0,13.0,10.0,4.0,4.0,44.0,44.0
356,Blair Walsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,MIN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,8.0,9.0,7.0,10.0,10.0,36.0,36.0
357,Jason Hanson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,DET,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,10.0,10.0,19.0,16.0,3.0,2.0,38.0,38.0
358,Stephen Gostkowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NWE,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.0,10.0,13.0,9.0,2.0,2.0,66.0,66.0
359,Sebastian Janikowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,OAK,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,10.0,10.0,5.0,5.0,9.0,6.0,25.0,25.0
360,Ryan Succop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,KAN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,15.0,12.0,12.0,10.0,2.0,2.0,17.0,17.0
361,Mason Crosby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,GNB,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,5.0,12.0,9.0,9.0,2.0,50.0,50.0
362,Justin Tucker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,BAL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,13.0,10.0,4.0,4.0,42.0,42.0
363,Connor Barth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,TAM,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,3.0,13.0,12.0,9.0,6.0,39.0,39.0
364,Adam Vinatieri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,IND,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,7.0,4.0,10.0,9.0,7.0,4.0,37.0,37.0
365,Matt Prater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,DEN,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,11.0,10.0,9.0,5.0,4.0,3.0,55.0,55.0
366,Dan Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,DAL,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,13.0,13.0,7.0,7.0,5.0,3.0,37.0,37.0
367,Rob Bironas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,TEN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,13.0,13.0,10.0,5.0,2.0,1.0,35.0,35.0
368,Shaun Suisham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,PIT,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,8.0,12.0,12.0,3.0,1.0,34.0,34.0
369,Phil Dawson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CLE,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0,8.0,6.0,6.0,7.0,7.0,29.0,29.0
370,Alex Henery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,PHI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0,8.0,12.0,11.0,1.0,0.0,26.0,25.0
371,Greg Zuerlein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,STL,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,4.0,7.0,7.0,13.0,7.0,26.0,26.0
372,Jay Feely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,ARI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,9.0,10.0,8.0,2.0,2.0,25.0,25.0
373,Josh Scobee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,JAX,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,8.0,8.0,13.0,11.0,2.0,1.0,19.0,18.0
374,Stephen Hauschka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,SEA,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,10.0,10.0,5.0,5.0,4.0,1.0,48.0,46.0
375,Nick Folk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NYJ,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,6.0,7.0,5.0,4.0,3.0,30.0,30.0
376,Dan Carpenter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,MIA,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,9.0,10.0,8.0,5.0,2.0,26.0,26.0
377,Robbie Gould,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CHI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,9.0,7.0,2.0,2.0,33.0,33.0
378,Rian Lindell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,BUF,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,11.0,10.0,7.0,6.0,2.0,1.0,39.0,39.0
379,Mike Nugent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CIN,K,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0,5.0,9.0,6.0,2.0,1.0,35.0,35.0
380,Garrett Hartley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NOR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,6.0,4.0,3.0,2.0,4.0,3.0,57.0,57.0
381,Nick Novak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,SDG,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,2.0,33.0,33.0
382,Kai Forbath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,WAS,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,11.0,11.0,1.0,1.0,34.0,33.0
383,Billy Cundiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,WAS,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,4.0,3.0,2.0,0.0,17.0,17.0
384,Josh Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CIN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,8.0,8.0
385,Graham Gano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CAR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,21.0,20.0
386,Justin Medlock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CAR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,0.0,23.0,23.0
387,Nate Kaeding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2TM,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,9.0,9.0
388,Olindo Mare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CHI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,7.0,7.0
389,Matthew Bosher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,ATL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Thomas Morstead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NOR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Michael Koenen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,TAM,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Pat McAfee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,IND,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Adam Podlesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CHI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,Britton Colquitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,DEN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Johnny Hekker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,STL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Donnie Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,HOU,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,Sam Koch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,BAL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Andy Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,SFO,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,Robert Malone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NYJ,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Zoltan Mesko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NWE,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Brad Nortman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,CAR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Jon Ryan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,SEA,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Dave Zastudil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,ARI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,Stephen Gostkowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NWE,K,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,13.0,13.0,13.0,11.0,6.0,5.0,44.0,44.0
