,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Year
18,19,Carolina Panthers,17,17,25,,,,2.0,,44,1.0,4,,36,40,24,33,,374,22.0,2022
19,20,Cleveland Browns,17,22,20,,,,,,42,1.0,3,,35,39,30,35,1.0,381,22.4,2022
20,21,Los Angeles Chargers,17,17,24,,,1.0,1.0,,43,1.0,2,,40,41,28,35,,384,22.6,2022
21,22,Los Angeles Rams,17,12,23,,,1.0,2.0,1.0,39,2.0,3,,36,36,36,40,1.0,384,22.6,2022
22,23,Atlanta Falcons,17,15,26,,,,,,41,4.0,5,,33,36,33,38,,386,22.7,2022
23,24,Miami Dolphins,17,15,27,,1.0,1.0,1.0,,45,3.0,5,,38,40,27,29,2.0,399,23.5,2022
24,25,Seattle Seahawks,17,21,23,,,1.0,1.0,,46,3.0,3,,39,42,26,32,1.0,401,23.6,2022
25,26,Las Vegas Raiders,17,20,25,,,1.0,2.0,,48,3.0,6,,40,41,28,40,,418,24.6,2022
26,27,Houston Texans,17,25,15,1.0,,3.0,4.0,,48,2.0,2,,44,45,28,32,,420,24.7,2022
27,28,Minnesota Vikings,17,18,23,,1.0,,2.0,1.0,45,2.0,6,,39,39,38,44,,427,25.1,2022
28,29,Detroit Lions,17,22,26,,,1.0,2.0,,51,2.0,6,,40,45,25,30,1.0,427,25.1,2022
29,30,Indianapolis Colts,17,20,25,,,1.0,4.0,,50,4.0,7,,41,43,26,28,,427,25.1,2022
30,31,Arizona Cardinals,17,21,29,,,1.0,1.0,,52,1.0,2,,48,50,29,31,,449,26.4,2022
31,32,Chicago Bears,17,31,22,,1.0,1.0,1.0,1.0,57,4.0,5,,50,52,21,29,,463,27.2,2022
