Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
JaMycal Hasty,JAC,27.1,116.7,0.9,21.20,17.00,115.8,0.30,39.2
Ke'Shawn Vaughn,TB,59.5,221.6,1.5,7.40,5.85,42.8,0.10,39.0
Ameer Abdullah,LV,17.7,70.8,0.4,26.90,19.95,150.9,0.70,38.8
Ty Montgomery,NE,25.8,102.5,0.7,22.20,17.35,113.5,0.70,38.7
Zach Evans,LA,52.8,214.5,1.4,8.30,5.90,43.6,0.15,38.4
Trayveon Williams,CIN,37.2,164.6,1.1,12.75,10.55,76.5,0.45,38.4
Isaiah Spiller,LAC,53.8,207.3,1.3,10.20,7.10,51.9,0.10,37.9
Zack Moss,IND,48.5,214.2,1.2,9.10,6.45,43.0,0.25,37.6
Israel Abanikanda,NYJ,45.0,186.2,1.3,10.25,7.65,57.6,0.20,37.2
Ronald Jones,DAL,49.5,211.1,1.6,6.35,4.75,32.8,0.05,36.4
Sean Tucker,TB,38.3,157.1,1.2,6.30,5.90,42.0,0.20,31.3
DeWayne McBride,MIN,41.5,172.9,1.4,5.25,3.75,26.8,0.10,31.2
Kyle Juszczyk,SF,6.6,24.2,0.4,15.60,13.70,126.7,0.80,29.1
Kevin Harris,NE,38.2,148.6,1.2,3.45,3.00,19.8,0.10,26.4
Raheem Blackshear,CAR,26.6,105.9,1.0,8.15,6.95,52.3,0.10,25.9
Jonathan Williams,WAS,32.6,132.6,0.6,11.90,6.70,43.9,0.20,25.8
Kene Nwangwu,MIN,25.1,103.8,0.8,9.20,6.35,45.4,0.25,24.4
Anthony McFarland,PIT,28.7,128.0,0.6,6.70,5.60,39.1,0.10,23.7
Boston Scott,PHI,32.5,135.0,1.2,2.65,2.35,14.2,0.05,23.6
Deon Jackson,IND,17.8,70.4,0.4,13.20,9.70,68.2,0.25,22.6
Jordan Mason,SF,29.2,140.2,0.7,4.55,3.45,22.1,0.05,22.5
Hassan Haskins,TEN,23.3,94.8,0.7,8.40,5.85,43.2,0.25,22.4
Tony Jones,DEN,30.2,117.0,0.8,7.40,4.25,28.9,0.05,22.1
Gary Brightwell,NYG,22.0,96.1,1.0,8.60,4.90,33.9,0.10,22.1
Craig Reynolds,DET,22.1,95.2,0.8,6.70,5.30,40.9,0.10,21.4
Brandon Bolden,LV,26.6,107.4,0.7,6.35,4.95,37.3,0.10,21.4
Patrick Taylor,GB,25.3,97.6,0.6,8.70,5.40,35.7,0.20,20.8
DeeJay Dallas,SEA,19.6,84.9,0.5,7.50,6.40,42.1,0.25,20.4
Mike Boone,HOU,20.8,86.9,0.6,6.80,5.90,43.5,0.10,20.2
Tyler Badie,DEN,24.3,99.5,0.3,6.50,5.40,36.5,0.30,19.9
